crime_type,station,district,province,District.1,Province.1,Province.2,LISTS OF STATIONS PER,,01,January,Population figures
17 Community reported serious Crime,Afsondering,Alfred Nzo District,Eastern Cape,Alfred Nzo District,Eastern Cape,Eastern Cape,,2.0,2.0,February,
Abduction,Avondale,Alfred Nzo District,Eastern Cape,Amathole District,Eastern Cape,Free State,Eastern Cape,3.0,3.0,March,Eastern Cape
All theft not mentioned elsewhere,Cedarville,Alfred Nzo District,Eastern Cape,Buffalo City District,Eastern Cape,Gauteng,Select component,4.0,4.0,April,Free State
Arson,KwaBhaca,Alfred Nzo District,Eastern Cape,Chris Hani District,Eastern Cape,KwaZulu-Natal,Alfred Nzo District,5.0,5.0,May,Gauteng
Assault with the intent to inflict grievous bodily harm,KwaNdengane,Alfred Nzo District,Eastern Cape,Joe Gqabi District,Eastern Cape,Limpopo,Amathole District,6.0,6.0,June,KwaZulu-Natal
Attempted murder,Lukholweni,Alfred Nzo District,Eastern Cape,Nelson Mandela District,Eastern Cape,Mpumalanga,Buffalo City District,7.0,7.0,July,Limpopo
Attempted sexual offences,Maloti,Alfred Nzo District,Eastern Cape,OR Tambo District,Eastern Cape,North West,Chris Hani District,8.0,8.0,August,Mpumalanga
Bank robbery,Matatiele,Alfred Nzo District,Eastern Cape,Sarah Baartman District,Eastern Cape,Northern Cape,Joe Gqabi District,9.0,9.0,September,Northern Cape
Burglary at non-residential premises,MaXesibeni,Alfred Nzo District,Eastern Cape,Fezile Dabi District,Free State,Western Cape,Nelson Mandela District,10.0,10.0,October,North West
Burglary at residential premises,Mbizana,Alfred Nzo District,Eastern Cape,Lejweleputswa District,Free State,,OR Tambo District,11.0,11.0,November,Western Cape
Carjacking,Mpisi,Alfred Nzo District,Eastern Cape,Mangaung District,Free State,Republic Of South Africa,Sarah Baartman District,12.0,12.0,December,Republic Of South Africa
Commercial crime,Mzamba,Alfred Nzo District,Eastern Cape,Thabo Mofutsanyana District,Free State,,Aberdeen,13.0,13.0,,
Common assault,Ntabankulu,Alfred Nzo District,Eastern Cape,Xhariep District,Free State,,Addo,14.0,14.0,,
Common robbery,Pholile,Alfred Nzo District,Eastern Cape,Ekurhuleni District,Gauteng,,Adelaide,15.0,15.0,,
Contact crime (Crimes against the person),Qhasa,Alfred Nzo District,Eastern Cape,Gauteng: Ports of Entry: Air,Gauteng,,Afsondering,16.0,16.0,,
Contact sexual offences,Adelaide,Amathole District,Eastern Cape,Johannesburg District,Gauteng,,Alexandria,17.0,17.0,,
Contact-related Crime,Alice,Amathole District,Eastern Cape,Sedibeng District,Gauteng,,Algoapark,18.0,18.0,,
Crimen injuria,Balfour,Amathole District,Eastern Cape,Tshwane District,Gauteng,,Alice,19.0,19.0,,
Culpable homicide,Bedford,Amathole District,Eastern Cape,West Rand District,Gauteng,,Alicedale,20.0,20.0,,
Kidnapping,Bell,Amathole District,Eastern Cape,Amajuba District,KwaZulu-Natal,,Aliwal North,21.0,21.0,,
Malicious damage to property,Bholo,Amathole District,Eastern Cape,Ethekwini District,KwaZulu-Natal,,Avondale,22.0,22.0,,
Murder,Bluewater,Amathole District,Eastern Cape,Harry Gwala District,KwaZulu-Natal,,Balfour,23.0,23.0,,
Neglect and ill-treatment of children,Butterworth,Amathole District,Eastern Cape,Ilembe District,KwaZulu-Natal,,Barkly East,24.0,24.0,,
Other serious Crime,Cathcart,Amathole District,Eastern Cape,King Cetshwayo District,KwaZulu-Natal,,Bathurst,25.0,25.0,,
Property-related Crime,Centane,Amathole District,Eastern Cape,Kwazulu-Natal: Ports of Entry: Air,KwaZulu-Natal,,Baviaanskloof,26.0,26.0,,
Public violence,Chungwa,Amathole District,Eastern Cape,Kwazulu-Natal: Ports of Entry: Sea,KwaZulu-Natal,,Beacon Bay,27.0,27.0,,
Rape,Doringkloof,Amathole District,Eastern Cape,Ugu District,KwaZulu-Natal,,Bedford,28.0,28.0,,
Robbery at non-residential premises,Dutywa,Amathole District,Eastern Cape,Umgungundlovu District,KwaZulu-Natal,,Bell,29.0,29.0,,
Robbery at residential premises,Elliotdale,Amathole District,Eastern Cape,Umkhanyakude District,KwaZulu-Natal,,Bethelsdorp,30.0,30.0,,
Robbery of cash in transit,KwaMaqoma,Amathole District,Eastern Cape,Umzinyathi District,KwaZulu-Natal,,Bhisho,31.0,31.0,,
Robbery with aggravating circumstances,Hamburg,Amathole District,Eastern Cape,Uthukela District,KwaZulu-Natal,,Bhityi,,,,
